--- Roles and Permissions ---
Role: Admin | Perm: Get Subscriptions (subscription.getSubscriptions) | Module: Subscription
Role: Admin | Perm: Create Tag (tags.createTag) | Module: Tags
Role: Admin | Perm: Create Tag Option (tags.createTagOption) | Module: Tags
Role: Admin | Perm: Delete Tag (tags.deleteTag) | Module: Tags
Role: Admin | Perm: Delete Tag Option (tags.deleteTagOption) | Module: Tags
Role: Admin | Perm: Get Tag Options (tags.getTagOptions) | Module: Tags
Role: Admin | Perm: Get Tags (tags.getTags) | Module: Tags
Role: Admin | Perm: Get Tags By Category (tags.getTagsByCategory) | Module: Tags
Role: Admin | Perm: Update Tag (tags.updateTag) | Module: Tags
Role: Admin | Perm: Create Terms Conditions (terms-conditions.createTermsConditions) | Module: Terms Conditions
Role: Admin | Perm: Delete Terms Conditions (terms-conditions.deleteTermsConditions) | Module: Terms Conditions
Role: Admin | Perm: Get Public Terms Conditions (terms-conditions.getPublicTermsConditions) | Module: Terms Conditions
Role: Admin | Perm: Get Terms Conditions (terms-conditions.getTermsConditions) | Module: Terms Conditions
Role: Admin | Perm: Update Terms Conditions (terms-conditions.updateTermsConditions) | Module: Terms Conditions
Role: Admin | Perm: Upload Category Image (upload.uploadCategoryImage) | Module: Upload
Role: Admin | Perm: Upload Company Logo (upload.uploadCompanyLogo) | Module: Upload
Role: Admin | Perm: Upload Provider Logo (upload.uploadProviderLogo) | Module: Upload
Role: Admin | Perm: Upload User Avatar (upload.uploadUserAvatar) | Module: Upload
Role: Admin | Perm: Create Client (user.createClient) | Module: User
Role: Admin | Perm: Create Moderator (user.createModerator) | Module: User
Role: Admin | Perm: Create Provider (user.createProvider) | Module: User
Role: Admin | Perm: Delete User (user.deleteUser) | Module: User
Role: Admin | Perm: Get Admins (user.getAdmins) | Module: User
Role: Admin | Perm: Get All Users (user.getAllUsers) | Module: User
Role: Admin | Perm: Get Clients (user.getClients) | Module: User
Role: Admin | Perm: Get Companies (user.getCompanies) | Module: User
Role: Admin | Perm: Get Company Users (user.getCompanyUsers) | Module: User
Role: Admin | Perm: Get Moderators (user.getModerators) | Module: User
Role: Admin | Perm: Get My Profile (user.getMyProfile) | Module: User
Role: Admin | Perm: Get Providers (user.getProviders) | Module: User
Role: Admin | Perm: Get Providers By Company (user.getProvidersByCompany) | Module: User
Role: Admin | Perm: Get Roles (user.getRoles) | Module: User
Role: Admin | Perm: Get User By Id (user.getUserById) | Module: User
Role: Admin | Perm: Get Users (user.getUsers) | Module: User
Role: Admin | Perm: Update Client (user.updateClient) | Module: User
Role: Admin | Perm: Update Moderator (user.updateModerator) | Module: User
Role: Admin | Perm: Update My Profile (user.updateMyProfile) | Module: User
Role: Admin | Perm: Update Provider (user.updateProvider) | Module: User
Role: Client | Perm: Logout (auth.logout) | Module: Auth
Role: Client | Perm: Add Blog Comment (blogs.addBlogComment) | Module: Blogs
Role: Client | Perm: Check Blog Like (blogs.checkBlogLike) | Module: Blogs
Role: Client | Perm: Create Blog Comment (blogs.createBlogComment) | Module: Blogs
Role: Client | Perm: Edit Blog Comment (blogs.editBlogComment) | Module: Blogs
Role: Client | Perm: Get Blog (blogs.getBlog) | Module: Blogs
Role: Client | Perm: Get Blog Average Rating (blogs.getBlogAverageRating) | Module: Blogs
Role: Client | Perm: Get Blog Comments (blogs.getBlogComments) | Module: Blogs
Role: Client | Perm: Get Blog Details (blogs.getBlogDetails) | Module: Blogs
Role: Client | Perm: Get Blogs (blogs.getBlogs) | Module: Blogs
Role: Client | Perm: Get Related Blogs (blogs.getRelatedBlogs) | Module: Blogs
Role: Client | Perm: Get User Rating For Blog (blogs.getUserRatingForBlog) | Module: Blogs
Role: Client | Perm: Rate Blog (blogs.rateBlog) | Module: Blogs
Role: Client | Perm: Search Blogs (blogs.searchBlogs) | Module: Blogs
Role: Client | Perm: Toggle Blog Like (blogs.toggleBlogLike) | Module: Blogs
Role: Client | Perm: Track Blog Share (blogs.trackBlogShare) | Module: Blogs
Role: Client | Perm: Get All Categories (categories.getAllCategories) | Module: Categories
